Start_date,End_date,Category,Start_location,Stop_location,Miles,Purpose,Hour,Month,Day_of_the_week,Weekday,Duration
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,14,Jan,1,Tue,0 days 00:14:00
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,15,Jan,1,Tue,0 days 00:15:00
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,15,Jan,1,Tue,0 days 00:12:00
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,16,Jan,1,Tue,0 days 00:58:00
2016-01-13 13:54:00,2016-01-13 14:07:00,Business,Downtown,Gulfton,11.2,Meeting,13,Jan,2,Wed,0 days 00:13:00
2016-01-13 15:00:00,2016-01-13 15:28:00,Business,Gulfton,Downtown,11.8,Meeting,15,Jan,2,Wed,0 days 00:28:00
2016-01-14 16:29:00,2016-01-14 17:05:00,Business,Houston,Houston,21.9,Customer Visit,16,Jan,3,Thu,0 days 00:36:00
2016-01-14 21:39:00,2016-01-14 21:45:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,21,Jan,3,Thu,0 days 00:06:00
2016-01-15 00:41:00,2016-01-15 01:01:00,Business,Morrisville,Cary,8.0,Errand/Supplies,0,Jan,4,Fri,0 days 00:20:00
2016-01-15 11:43:00,2016-01-15 12:03:00,Business,Cary,Durham,10.4,Meal/Entertain,11,Jan,4,Fri,0 days 00:20:00
2016-01-15 13:26:00,2016-01-15 13:44:00,Business,Durham,Cary,10.4,Meal/Entertain,13,Jan,4,Fri,0 days 00:18:00
2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,Cary,4.8,Meal/Entertain,14,Jan,0,Mon,0 days 00:11:00
2016-01-18 16:13:00,2016-01-18 16:24:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,16,Jan,0,Mon,0 days 00:11:00
2016-01-19 09:09:00,2016-01-19 09:23:00,Business,Whitebridge,Lake Wellingborough,7.2,Unknown,9,Jan,1,Tue,0 days 00:14:00
2016-01-19 10:55:00,2016-01-19 11:09:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,10,Jan,1,Tue,0 days 00:14:00
2016-01-20 10:36:00,2016-01-20 11:11:00,Business,Cary,Raleigh,17.1,Meeting,10,Jan,2,Wed,0 days 00:35:00
2016-01-20 11:48:00,2016-01-20 12:19:00,Business,Fayetteville Street,Umstead,15.1,Meeting,11,Jan,2,Wed,0 days 00:31:00
2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,Cary,40.2,Customer Visit,13,Jan,2,Wed,0 days 00:54:00
2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,14,Jan,3,Thu,0 days 00:04:00
2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,14,Jan,3,Thu,0 days 00:08:00
2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,16,Jan,3,Thu,0 days 00:05:00
2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,10,Jan,1,Tue,0 days 00:09:00
2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,12,Jan,1,Tue,0 days 00:08:00
2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,16,Jan,1,Tue,0 days 00:08:00
2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,17,Jan,1,Tue,0 days 00:05:00
2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,17,Jan,1,Tue,0 days 00:02:00
2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,9,Jan,2,Wed,0 days 00:07:00
2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,10,Jan,2,Wed,0 days 00:29:00
2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,12,Jan,2,Wed,0 days 00:10:00
2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,14,Jan,2,Wed,0 days 00:08:00
2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,14,Jan,2,Wed,0 days 00:22:00
2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,12,Jan,3,Thu,0 days 00:32:00
2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,15,Jan,3,Thu,0 days 00:20:00
2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,16,Jan,3,Thu,0 days 00:30:00
2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,9,Jan,4,Fri,0 days 00:14:00
2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,10,Jan,4,Fri,0 days 00:11:00
2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,Durham,10.4,Meeting,11,Jan,4,Fri,0 days 00:20:00
2016-01-29 13:24:00,2016-01-29 13:47:00,Business,Durham,Cary,10.1,Meeting,13,Jan,4,Fri,0 days 00:23:00
2016-01-29 18:31:00,2016-01-29 18:52:00,Business,Cary,Apex,5.8,Errand/Supplies,18,Jan,4,Fri,0 days 00:21:00
2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,Cary,5.5,Meal/Entertain,21,Jan,4,Fri,0 days 00:19:00
2016-01-30 16:21:00,2016-01-30 16:33:00,Business,Cary,Apex,5.7,Errand/Supplies,16,Jan,5,Sat,0 days 00:12:00
2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,Cary,5.7,Customer Visit,18,Jan,5,Sat,0 days 00:15:00
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,10,Feb,0,Mon,0 days 00:40:00
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,12,Feb,0,Mon,0 days 00:33:00
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,12,Feb,0,Mon,0 days 00:11:00
2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,13,Feb,1,Tue,0 days 00:19:00
2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,13,Feb,1,Tue,0 days 00:15:00
2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,14,Feb,1,Tue,0 days 00:04:00
2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,8,Feb,3,Thu,0 days 00:21:00
2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,9,Feb,3,Thu,0 days 00:32:00
2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,10,Feb,3,Thu,0 days 00:06:00
2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,15,Feb,3,Thu,0 days 00:04:00
2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,16,Feb,3,Thu,0 days 00:04:00
2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,18,Feb,3,Thu,0 days 00:27:00
2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,20,Feb,3,Thu,0 days 00:19:00
2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,11,Feb,4,Fri,0 days 00:20:00
2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,13,Feb,4,Fri,0 days 00:19:00
2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,16,Feb,5,Sat,0 days 00:33:00
2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,18,Feb,5,Sat,0 days 00:24:00
2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,19,Feb,5,Sat,0 days 00:09:00
2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,16,Feb,6,Sun,0 days 00:12:00
2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,18,Feb,6,Sun,0 days 00:14:00
2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,18,Feb,6,Sun,0 days 00:14:00
2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,20,Feb,6,Sun,0 days 00:18:00
2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,12,Feb,0,Mon,0 days 00:11:00
2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,14,Feb,0,Mon,0 days 00:10:00
2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,Unknown,10,Feb,1,Tue,0 days 00:13:00
2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,Unknown,11,Feb,1,Tue,0 days 00:07:00
2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,Unknown,13,Feb,1,Tue,0 days 00:16:00
2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,Unknown,13,Feb,1,Tue,0 days 00:04:00
2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,Unknown,18,Feb,1,Tue,0 days 00:16:00
2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,20,Feb,1,Tue,0 days 00:16:00
2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,16,Feb,3,Thu,0 days 00:42:00
2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,17,Feb,3,Thu,0 days 00:21:00
2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,18,Feb,3,Thu,0 days 00:22:00
2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,20,Feb,3,Thu,0 days 00:15:00
2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,8,Feb,4,Fri,0 days 00:21:00
2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,10,Feb,4,Fri,0 days 00:07:00
2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,11,Feb,4,Fri,0 days 00:21:00
2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,13,Feb,4,Fri,0 days 00:34:00
2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,14,Feb,4,Fri,0 days 00:17:00
2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,15,Feb,4,Fri,0 days 00:33:00
2016-02-13 14:21:00,2016-02-13 14:41:00,Business,Cary,Morrisville,8.9,Meeting,14,Feb,5,Sat,0 days 00:20:00
2016-02-13 23:45:00,2016-02-14 00:01:00,Personal,East Elmhurst,Jackson Heights,2.7,Unknown,23,Feb,5,Sat,0 days 00:16:00
2016-02-14 00:50:00,2016-02-14 01:00:00,Personal,Jackson Heights,East Elmhurst,1.8,Unknown,0,Feb,6,Sun,0 days 00:10:00
2016-02-14 14:07:00,2016-02-14 14:40:00,Business,East Elmhurst,New York,8.1,Meeting,14,Feb,6,Sun,0 days 00:33:00
2016-02-14 14:46:00,2016-02-14 15:03:00,Business,Midtown,Midtown West,2.0,Meeting,14,Feb,6,Sun,0 days 00:17:00
2016-02-14 16:35:00,2016-02-14 17:02:00,Business,New York,Long Island City,13.0,Meeting,16,Feb,6,Sun,0 days 00:27:00
2016-02-14 17:06:00,2016-02-14 17:29:00,Business,Long Island City,Jamaica,13.9,Meeting,17,Feb,6,Sun,0 days 00:23:00
2016-02-16 03:21:00,2016-02-16 04:13:00,Business,Katunayaka,Unknown Location,43.7,Customer Visit,3,Feb,1,Tue,0 days 00:52:00
2016-02-16 08:29:00,2016-02-16 09:34:00,Business,Unknown Location,Colombo,14.1,Unknown,8,Feb,1,Tue,0 days 01:05:00
2016-02-16 10:31:00,2016-02-16 10:41:00,Business,Colombo,Colombo,2.6,Unknown,10,Feb,1,Tue,0 days 00:10:00
2016-02-16 11:32:00,2016-02-16 12:02:00,Business,Colombo,Colombo,4.5,Unknown,11,Feb,1,Tue,0 days 00:30:00
2016-02-16 12:39:00,2016-02-16 12:42:00,Business,Colombo,Colombo,1.7,Unknown,12,Feb,1,Tue,0 days 00:03:00
2016-02-16 13:43:00,2016-02-16 13:55:00,Business,Colombo,Colombo,1.8,Temporary Site,13,Feb,1,Tue,0 days 00:12:00
2016-02-16 16:34:00,2016-02-16 17:10:00,Business,Colombo,Colombo,6.0,Unknown,16,Feb,1,Tue,0 days 00:36:00
2016-02-16 17:17:00,2016-02-16 17:26:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,17,Feb,1,Tue,0 days 00:09:00
2016-02-16 17:40:00,2016-02-16 17:44:00,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,17,Feb,1,Tue,0 days 00:04:00
2016-02-17 13:18:00,2016-02-17 14:04:00,Business,Unknown Location,Colombo,14.7,Temporary Site,13,Feb,2,Wed,0 days 00:46:00
2016-02-17 15:17:00,2016-02-17 15:22:00,Business,Colombo,Colombo,1.7,Meal/Entertain,15,Feb,2,Wed,0 days 00:05:00
2016-02-17 15:33:00,2016-02-17 16:17:00,Business,Colombo,Katunayaka,21.4,Temporary Site,15,Feb,2,Wed,0 days 00:44:00
2016-02-17 16:38:00,2016-02-17 16:43:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,16,Feb,2,Wed,0 days 00:05:00
2016-02-18 08:19:00,2016-02-18 08:27:00,Business,Unknown Location,Unknown Location,23.5,Temporary Site,8,Feb,3,Thu,0 days 00:08:00
2016-02-18 14:03:00,2016-02-18 14:45:00,Business,Unknown Location,Islamabad,12.7,Temporary Site,14,Feb,3,Thu,0 days 00:42:00
2016-02-18 15:16:00,2016-02-18 15:31:00,Business,Islamabad,Unknown Location,6.0,Temporary Site,15,Feb,3,Thu,0 days 00:15:00
2016-02-18 18:44:00,2016-02-18 18:58:00,Business,Unknown Location,Islamabad,5.2,Customer Visit,18,Feb,3,Thu,0 days 00:14:00
2016-02-18 19:27:00,2016-02-18 20:08:00,Business,Islamabad,Unknown Location,10.0,Meeting,19,Feb,3,Thu,0 days 00:41:00
2016-02-19 09:02:00,2016-02-19 09:14:00,Business,Unknown Location,Unknown Location,18.3,Meeting,9,Feb,4,Fri,0 days 00:12:00
2016-02-19 09:21:00,2016-02-19 09:51:00,Business,Unknown Location,Unknown Location,11.2,Meeting,9,Feb,4,Fri,0 days 00:30:00
2016-02-19 10:21:00,2016-02-19 10:48:00,Business,Unknown Location,Islamabad,7.6,Meeting,10,Feb,4,Fri,0 days 00:27:00
2016-02-19 11:20:00,2016-02-19 11:26:00,Personal,Islamabad,Islamabad,1.5,Unknown,11,Feb,4,Fri,0 days 00:06:00
2016-02-19 11:45:00,2016-02-19 11:50:00,Personal,Islamabad,Islamabad,1.0,Unknown,11,Feb,4,Fri,0 days 00:05:00
2016-02-19 12:09:00,2016-02-19 12:27:00,Business,Islamabad,Unknown Location,7.3,Temporary Site,12,Feb,4,Fri,0 days 00:18:00
2016-02-19 16:26:00,2016-02-19 16:45:00,Business,Unknown Location,Islamabad,3.5,Unknown,16,Feb,4,Fri,0 days 00:19:00
2016-02-19 17:09:00,2016-02-19 17:20:00,Business,Islamabad,Islamabad,4.2,Unknown,17,Feb,4,Fri,0 days 00:11:00
2016-02-19 20:08:00,2016-02-19 20:30:00,Personal,Islamabad,Unknown Location,13.6,Unknown,20,Feb,4,Fri,0 days 00:22:00
2016-02-19 20:34:00,2016-02-19 20:51:00,Personal,Unknown Location,Unknown Location,2.5,Unknown,20,Feb,4,Fri,0 days 00:17:00
2016-02-20 07:59:00,2016-02-20 08:32:00,Personal,Unknown Location,Islamabad,14.4,Unknown,7,Feb,5,Sat,0 days 00:33:00
2016-02-20 10:48:00,2016-02-20 10:56:00,Personal,Islamabad,Islamabad,3.0,Unknown,10,Feb,5,Sat,0 days 00:08:00
2016-02-20 11:45:00,2016-02-20 11:53:00,Personal,Islamabad,Islamabad,1.5,Unknown,11,Feb,5,Sat,0 days 00:08:00
2016-02-20 12:41:00,2016-02-20 13:17:00,Business,Islamabad,R?walpindi,18.4,Unknown,12,Feb,5,Sat,0 days 00:36:00
2016-02-20 14:50:00,2016-02-20 15:54:00,Business,R?walpindi,R?walpindi,23.1,Meeting,14,Feb,5,Sat,0 days 01:04:00
2016-02-20 16:59:00,2016-02-20 17:54:00,Personal,R?walpindi,Unknown Location,16.5,Unknown,16,Feb,5,Sat,0 days 00:55:00
2016-02-20 18:00:00,2016-02-20 18:03:00,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,18,Feb,5,Sat,0 days 00:03:00
2016-02-20 19:28:00,2016-02-20 19:49:00,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,19,Feb,5,Sat,0 days 00:21:00
2016-02-21 09:07:00,2016-02-21 09:46:00,Business,Unknown Location,Islamabad,14.5,Unknown,9,Feb,6,Sun,0 days 00:39:00
2016-02-21 11:39:00,2016-02-21 11:43:00,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,11,Feb,6,Sun,0 days 00:04:00
2016-02-21 11:47:00,2016-02-21 12:01:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,11,Feb,6,Sun,0 days 00:14:00
2016-02-21 12:13:00,2016-02-21 12:35:00,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,12,Feb,6,Sun,0 days 00:22:00
2016-02-21 12:51:00,2016-02-21 13:12:00,Business,Unknown Location,Unknown Location,8.3,Temporary Site,12,Feb,6,Sun,0 days 00:21:00
2016-02-21 13:33:00,2016-02-21 14:30:00,Business,Unknown Location,Unknown Location,22.7,Temporary Site,13,Feb,6,Sun,0 days 00:57:00
2016-02-21 14:36:00,2016-02-21 15:03:00,Business,Unknown Location,Islamabad,13.0,Temporary Site,14,Feb,6,Sun,0 days 00:27:00
2016-02-21 15:14:00,2016-02-21 15:31:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,15,Feb,6,Sun,0 days 00:17:00
2016-02-21 15:36:00,2016-02-21 15:41:00,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,15,Feb,6,Sun,0 days 00:05:00
2016-02-21 16:04:00,2016-02-21 16:32:00,Business,Unknown Location,Unknown Location,9.7,Unknown,16,Feb,6,Sun,0 days 00:28:00
2016-02-21 23:15:00,2016-02-21 23:52:00,Business,Unknown Location,R?walpindi,20.0,Meeting,23,Feb,6,Sun,0 days 00:37:00
2016-02-22 21:54:00,2016-02-22 22:09:00,Business,Morrisville,Cary,8.1,Customer Visit,21,Feb,0,Mon,0 days 00:15:00
2016-02-24 14:30:00,2016-02-24 14:35:00,Business,Whitebridge,Preston,1.5,Unknown,14,Feb,2,Wed,0 days 00:05:00
2016-02-24 15:19:00,2016-02-24 15:25:00,Business,Preston,Whitebridge,1.7,Errand/Supplies,15,Feb,2,Wed,0 days 00:06:00
2016-02-25 16:27:00,2016-02-25 16:35:00,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,16,Feb,3,Thu,0 days 00:08:00
2016-02-25 16:47:00,2016-02-25 17:02:00,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,16,Feb,3,Thu,0 days 00:15:00
2016-02-25 17:16:00,2016-02-25 17:36:00,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,17,Feb,3,Thu,0 days 00:20:00
2016-02-25 18:22:00,2016-02-25 18:39:00,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,18,Feb,3,Thu,0 days 00:17:00
2016-02-26 09:06:00,2016-02-26 09:29:00,Business,Whitebridge,Westpark Place,6.3,Unknown,9,Feb,4,Fri,0 days 00:23:00
2016-02-26 11:05:00,2016-02-26 11:11:00,Personal,Westpark Place,Whitebridge,1.7,Unknown,11,Feb,4,Fri,0 days 00:06:00
2016-02-26 11:35:00,2016-02-26 11:59:00,Business,Cary,Durham,10.6,Meeting,11,Feb,4,Fri,0 days 00:24:00
2016-02-26 13:01:00,2016-02-26 13:24:00,Business,Durham,Cary,9.9,Meeting,13,Feb,4,Fri,0 days 00:23:00
2016-02-26 14:38:00,2016-02-26 14:46:00,Personal,Whitebridge,Westpark Place,1.9,Unknown,14,Feb,4,Fri,0 days 00:08:00
2016-02-26 15:00:00,2016-02-26 15:18:00,Personal,Westpark Place,Hazelwood,4.2,Unknown,15,Feb,4,Fri,0 days 00:18:00
2016-02-26 17:01:00,2016-02-26 17:12:00,Personal,Hazelwood,Whitebridge,2.0,Unknown,17,Feb,4,Fri,0 days 00:11:00
2016-02-28 05:22:00,2016-02-28 05:38:00,Business,Whitebridge,Waverly Place,7.7,Meeting,5,Feb,6,Sun,0 days 00:16:00
2016-02-28 09:26:00,2016-02-28 09:42:00,Business,Waverly Place,Whitebridge,6.8,Meeting,9,Feb,6,Sun,0 days 00:16:00
2016-02-29 11:07:00,2016-02-29 11:14:00,Personal,Whitebridge,Westpark Place,2.1,Unknown,11,Feb,0,Mon,0 days 00:07:00
2016-02-29 11:30:00,2016-02-29 11:40:00,Business,Cary,Apex,3.8,Meeting,11,Feb,0,Mon,0 days 00:10:00
2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,Cary,5.6,Meeting,12,Feb,0,Mon,0 days 00:12:00
2016-02-29 14:55:00,2016-02-29 15:03:00,Business,Whitebridge,Hazelwood,2.6,Unknown,14,Feb,0,Mon,0 days 00:08:00
2016-02-29 16:40:00,2016-02-29 17:00:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,16,Feb,0,Mon,0 days 00:20:00
2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,18,Mar,1,Tue,0 days 00:23:00
2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,21,Mar,1,Tue,0 days 00:18:00
2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,Unknown,9,Mar,3,Thu,0 days 00:07:00
2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,11,Mar,3,Thu,0 days 00:06:00
2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,14,Mar,3,Thu,0 days 00:14:00
2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,15,Mar,3,Thu,0 days 00:21:00
2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,16,Mar,3,Thu,0 days 00:40:00
2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,7,Mar,4,Fri,0 days 00:19:00
2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,9,Mar,4,Fri,0 days 00:17:00
2016-03-04 11:46:00,2016-03-04 12:06:00,Business,Cary,Durham,10.4,Meeting,11,Mar,4,Fri,0 days 00:20:00
2016-03-04 13:03:00,2016-03-04 13:25:00,Business,Durham,Cary,10.9,Meeting,13,Mar,4,Fri,0 days 00:22:00
2016-03-04 13:40:00,2016-03-04 14:09:00,Business,Cary,Raleigh,15.7,Customer Visit,13,Mar,4,Fri,0 days 00:29:00
